date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:26	618086/618086	---M--	200	added ('OK')	image/png	etag:%2296e66-5ea4ddfaa5667%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/RENOVACION%20DE%20CONTRATO%202023.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/RENOVACION%20DE%20CONTRATO%202023.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/renovaci%c3%b3n-de-contrato-2023)
10:49:29	35251/35251	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:49:27%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/191	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/191.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:49:43	113061/113061	---M--	200	added ('OK')	image/jpeg	etag:%221b9a5-5e64a0a4f8829%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/MATRICULA-2022-I-scaled.jpg	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/MATRICULA-2022-I-scaled.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/ratificaci%c3%b3n-de-matr%c3%adcula-2022-ii)
10:51:05	500051/500051	---M--	200	added ('OK')	application/pdf	etag:%227a153-5dc784e62db03%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/DIRECTIVA%202%2C%20PROTOCOLO%202022_0.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/DIRECTIVA%202,%20PROTOCOLO%202022_0.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:51:10	1066162/1066162	---M--	200	added ('OK')	image/png	etag:%221044b2-5e64a21824cb9%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/2022-2%20PROCEDIMIENTO%20DE%20MATRICULA.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/2022-2%20PROCEDIMIENTO%20DE%20MATRICULA.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/ratificaci%c3%b3n-de-matr%c3%adcula-2022-ii)
10:52:10	998909/998909	---M--	200	added ('OK')	image/png	etag:%22f3dfd-5dc7839ff1651%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/FICHA%20SINTOMATOL%c3%93GICA-PUBLICIDAD_0.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/FICHA%20SINTOMATOL%c3%93GICA-PUBLICIDAD_0.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:52:28	476940/476940	---M--	200	added ('OK')	application/pdf	etag:%227470c-5dc784868fae0%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomatol%c3%b3gica%2C%20estudiantes.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomatol%c3%b3gica,%20estudiantes.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:53:28	477520/477520	---M--	200	added ('OK')	application/pdf	etag:%2274950-5dc784a2b53d9%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomat%2C%20Docentes%2C%20asistentes.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomat,%20Docentes,%20asistentes.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:53:47	479355/479355	---M--	200	added ('OK')	application/pdf	etag:%227507b-5dc784cb09f09%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomat%2C%20trabajadores%20adm.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Ficha%20sintomat,%20trabajadores%20adm.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:53:49	33643/33643	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:53:47%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/139	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/139.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-nuevo-0)
